Time (s),Linear Acceleration x (m/s^2)
1.780491041E0,-1.053499728E-1
1.790506562E0,2.873706818E-2
1.800374010E0,5.629526079E-2
1.810304999E0,3.900434077E-2
1.820277031E0,1.586064696E-2
1.830260676E0,-6.979224086E-2
1.840170312E0,-3.601960838E-3
1.850109218E0,3.377380967E-2
1.860049739E0,5.164752901E-2
1.870050989E0,1.198167354E-2
1.879959947E0,2.139705420E-2
1.889904531E0,1.018156856E-2
1.899849583E0,-4.212097451E-2
1.909778958E0,9.686308354E-2
1.920182239E0,-7.926575840E-3
1.929657343E0,-4.196742922E-2
1.939603906E0,1.571227610E-2
1.949606926E0,-5.609139800E-3
1.959518697E0,-1.607345790E-2
1.959518697E0,2.350711823E-2
1.969258124E0,-6.792604923E-2
1.979433645E0,-8.233690262E-2
1.988931041E0,-1.645485163E-1
1.999685312E0,-2.626277208E-1
2.008822916E0,-3.946169019E-1
2.019303229E0,-4.264830351E-1
2.028745520E0,-4.486453533E-1
2.039044687E0,-3.282470703E-1
2.048637864E0,-2.060290575E-1
2.058983593E0,-1.186023951E-1
2.068540156E0,-1.046962738E-1
2.079008020E0,5.693244934E-2
2.088407499E0,8.905386925E-2
2.098754791E0,9.310936928E-2
2.108298333E0,-7.395982742E-3
2.118660624E0,-2.818076611E-1
2.128200312E0,-2.718634605E-1
2.138697812E0,-2.710214853E-1
2.148099218E0,-2.483166456E-1
2.158434531E0,-3.121112585E-1
2.167980104E0,-1.832020283E-1
2.178766562E0,-4.192161560E-2
2.187877604E0,1.751915216E-1
2.198425833E0,2.948684692E-1
2.207745625E0,1.095528603E-1
2.218111927E0,3.847002983E-3
2.227661562E0,-6.665587425E-2
2.237994479E0,-1.926568747E-1
2.247556302E0,-3.234481215E-1
2.258051770E0,-3.373740315E-1
2.267461145E0,-2.670028210E-1
2.277808125E0,-1.079819202E-1
2.287328229E0,-1.460416317E-1
2.297667083E0,-1.702010632E-1
2.307216197E0,-1.454117298E-1
2.317721041E0,-1.911091805E-2
2.327169635E0,5.206108093E-3
2.337428802E0,1.915966272E-1
2.347007447E0,2.546583414E-1
2.357796614E0,2.774354219E-1
2.367020052E0,1.689683199E-1
2.377798541E0,9.377251863E-1
2.386791979E0,-1.443697453E0
2.397127864E0,-2.977334023E0
2.406674531E0,-1.195545793E-1
2.417020572E0,2.744391918E0
2.426635416E0,1.291947722E0
2.437108072E0,-8.940005898E-1
2.446473385E0,-8.320835829E-1
2.456789895E0,-5.255924463E-1
2.466356041E0,-7.882624865E-1
2.476737447E0,-9.241425395E-1
2.486249895E0,-2.876241803E-1
2.496753072E0,4.933899641E-1
2.506210468E0,9.740092754E-1
2.516603802E0,5.717115402E-1
2.526030156E0,-5.128417015E-1
2.536919062E0,-9.012053609E-1
2.545948020E0,-2.998366356E-1
2.556455312E0,5.504214168E-1
2.565924687E0,5.448179841E-1
2.576180416E0,-7.828497887E-2
2.585733125E0,-3.933210373E-1
2.596115833E0,-3.995914459E-1
2.605667552E0,-4.526005387E-1
2.616116927E0,-6.185925007E-1
2.625504427E0,-4.391226768E-1
2.635862968E0,-1.761341095E-2
2.645452239E0,-4.785627127E-2
2.655748541E0,9.873127937E-2
2.665299323E0,-3.861236572E-2
2.675794323E0,-7.786095142E-3
2.685184739E0,-9.491556883E-2
2.695557083E0,-1.477788687E-1
2.705190416E0,-1.969519854E-1
2.715900885E0,-5.761224031E-2
2.724960729E0,-7.941305637E-3
2.735457968E0,2.812643647E-1
2.744857291E0,5.022881627E-1
2.755172708E0,3.977248073E-1
2.764760989E0,3.645199537E-2
2.775067604E0,-1.451084018E-1
2.784610677E0,-2.760577202E-2
2.795152343E0,-6.879794598E-2
2.804499844E0,-2.798547745E-1
2.814828073E0,-2.497881055E-1
2.824380781E0,-1.156286597E-1
2.834721823E0,3.580486774E-2
2.844279323E0,-2.651423216E-2
2.854789896E0,-2.721621990E-1
2.864172239E0,-2.885589004E-1
2.874494114E0,-1.413473487E-1
2.884067396E0,4.461830854E-2
2.894888958E0,-3.514057398E-2
2.903929219E0,5.028665066E-3
2.914447708E0,2.503156662E-2
2.923955781E0,5.412268639E-2
2.934197708E0,6.420534849E-2
2.943747186E0,2.542012334E-1
2.954068957E0,2.736991644E-2
2.963635780E0,7.974386215E-3
2.974123957E0,-2.088558674E-2
2.983516352E0,-1.538056135E-2
2.993854685E0,-2.648261189E-1
3.003456195E0,-3.939151466E-1
3.014108488E0,-3.541726470E-1
3.023518541E0,-6.102526188E-2
3.033788332E0,-6.417053938E-2
3.043190988E0,-1.697574258E-1
3.053530780E0,-2.176683545E-1
3.063108123E0,-7.727384567E-2
3.073880311E0,3.222143650E-2
3.083016717E0,1.403612494E-1
3.093598853E0,7.377046347E-2
3.102832655E0,8.046150208E-2
3.113251040E0,3.979891539E-2
3.122746665E0,8.901417255E-3
3.133130571E0,1.388847828E-3
3.142746978E0,-3.036767244E-2
3.153128748E0,7.958292961E-2
3.162548644E0,1.551943421E-1
3.172824165E0,1.266354918E-1
3.182432134E0,1.926875114E-2
3.192760571E0,-4.414218664E-2
3.202314998E0,-1.459580660E-1
3.212817550E0,-5.378156900E-2
3.222208332E0,3.690421581E-3
3.232536040E0,5.047345161E-2
3.242117238E0,3.082478046E-2
3.252904269E0,3.037351370E-2
3.261998905E0,3.929215670E-2
3.272464478E0,1.057404280E-2
3.281878748E0,2.911561728E-2
3.292213123E0,8.864402771E-4
3.301772811E0,3.401362896E-2
3.312099686E0,9.909427166E-2
3.321665155E0,3.648060560E-2
3.332627030E0,-5.851852894E-2
3.341599582E0,-4.417175055E-2
3.351861717E0,-6.392627954E-2
3.361453905E0,-9.772270918E-2
3.371779373E0,1.153261662E-1
3.381358123E0,5.309522152E-3
3.391872759E0,6.603902578E-2
3.401225311E0,3.292262554E-2
3.411566978E0,1.062661409E-2
3.421124217E0,-8.678865433E-2
3.431961613E0,-1.121431589E-1
3.441012082E0,-1.229518652E-1
3.451506561E0,-1.007823944E-1
3.460913176E0,-1.116592288E-1
3.471247551E0,-5.153232813E-2
3.480800728E0,2.171939611E-2
3.491155155E0,4.092514515E-3
3.500801248E0,1.097527742E-1
3.511187707E0,9.149408340E-2
3.520553123E0,-5.520987511E-2
3.530927342E0,-1.332488060E-1
3.540479894E0,-1.114665866E-1
3.550854530E0,-1.284004450E-1
3.560361301E0,-1.068634987E-1
3.570858019E0,1.669800282E-2
3.580267290E0,1.004705429E-1
3.590634998E0,1.172276139E-1
3.600117290E0,2.862550020E-1
3.610935571E0,1.949348450E-1
3.620011092E0,1.817743182E-1
3.630528332E0,8.892595768E-2
3.639924426E0,-1.120774150E-1
3.650624790E0,-9.391254187E-2
3.659827603E0,-1.674918532E-1
3.670119842E0,-1.419438124E-1
3.679722759E0,-1.363618970E-1
3.690213540E0,-6.482023001E-2
3.699602082E0,8.732581139E-2
3.709956040E0,1.010326147E-1
3.719557446E0,-1.296353340E-2
3.729829426E0,2.008062601E-2
3.739375780E0,9.949326515E-2
3.749892759E0,1.160570979E-1
3.759269478E0,1.044601202E-2
3.769580467E0,4.755175114E-2
3.779157707E0,9.788465500E-2
3.789965988E0,1.788058281E-1
3.799113644E0,1.743842363E-1
3.809552134E0,1.139271259E-1
3.818931196E0,-1.693475246E-2
3.828064113E0,-1.797404885E-1
3.839238749E0,-1.413236260E-1
3.848792238E0,-8.449500799E-2
3.859130624E0,-7.654726505E-2
3.870230103E0,-5.645835400E-2
3.877832342E0,1.536768675E-2
3.888644738E0,-5.043780804E-2
3.898944790E0,1.341271400E-2
3.908515155E0,6.620532274E-2
3.918950988E0,1.662657857E-1
3.928531353E0,8.884060383E-2
3.938719842E0,6.621319056E-2
3.948520988E0,1.543713808E-1
3.958592915E0,2.129100561E-1
3.968590051E0,7.048076391E-2
3.978826092E0,1.418070793E-1
3.988184738E0,2.923488617E-3
3.998318228E0,-9.773582220E-2
4.007918801E0,-2.267360687E-2
4.018254478E0,2.196198702E-2
4.027819947E0,2.093538642E-1
4.038156092E0,2.780976295E-1
4.047862915E0,1.964861155E-1
4.058037134E0,-5.845785141E-3
4.067582134E0,-1.197974682E-1
4.077977030E0,-6.128185987E-2
4.087485676E0,-8.183979988E-2
4.097864738E0,-9.614187479E-2
4.107539999E0,-1.735834479E-1
4.117732655E0,-1.657458544E-1
4.127264426E0,-3.451996148E-1
4.137610988E0,-2.419958711E-1
4.147579061E0,-2.384209037E-1
4.157489947E0,1.789134741E-2
4.167189738E0,-1.349723339E-2
4.177401561E0,1.107154489E-1
4.187024999E0,1.459633112E-1
4.197271092E0,6.687480211E-2
4.206829426E0,-8.234715462E-2
4.217167967E0,4.093706608E-3
4.226883697E0,1.306581497E-1
4.237066874E0,-1.227438450E-2
4.246575728E0,-7.328063250E-2
4.256957811E0,-5.219286680E-2
4.266504322E0,-3.148406744E-2
4.276839634E0,-4.319763184E-2
4.286553749E0,-8.799070120E-2
4.297093853E0,-2.865475416E-2
4.306280884E0,4.036271572E-2
4.316603436E0,5.551266670E-2
4.326604582E0,-7.776683569E-2
4.336516561E0,-6.962674856E-2
4.346231457E0,-3.125703335E-2
4.356405936E0,-9.440499544E-2
4.365961301E0,-1.385927498E-1
4.376313853E0,-2.034410834E-1
4.385854790E0,-1.352379024E-1
4.396219530E0,-1.522707939E-2
4.405896561E0,-5.954027176E-2
