Time (s);Linear Acceleration x (m/s^2);speed (m/s)
0;0.4632164836;0
0.010134999;0.1148092672;0.00469469859807
0.020312083;0.006244119257;0.001168423556273
0.030025312;0.09044831991;6.06505602465509E-05
0.040072916;0.1097369343;0.000908788900921
0.049916093;0.1138558388;0.001080160067752
0.059919166;-0.07893856615;0.001138908266993
0.06981401;0.09399440885;-0.000781084797638
0.079802135;0.07444657385;0.000938827904895
0.089720989;0.08891354501;0.000738424696818
0.099736354;0.02622203529;0.000890501606719
0.109668385;0.09270751476;0.000260438067383
0.11958677;0.05234378949;0.000919508823783
0.12999401;0.05221287161;0.000544754379732
0.139470937;0.08499117196;0.000494817572708
0.149428906;0.1139325276;0.000846339455651
0.159571666;0.05718458071;0.00115559028364
0.169319531;0.0182524994;0.000557427572843
0.179278177;0.05121973529;0.00018177018014
0.189203333;0.03630158305;0.000508363863032
0.199110729;0.06781192124;0.000359654158703
0.209144062;0.03820780292;0.000680379587171
0.219076614;0.04769237339;0.000379500989309
0.228982864;0.05295537412;0.000472452573895
0.238926406;0.02971806377;0.000526563986688
0.248900416;0.05254711211;0.000296408265223
0.258820052;0.02270881087;0.000521248224982
0.268754687;0.1518228501;0.000225603747277
0.278740989;0.1313608885;0.001516148831599
0.288661302;0.1359371245;0.001303141129878
0.29861026;0.08322386444;0.001352432742291
0.309007083;0.08328863233;0.000865263787959
0.31849901;0.06427244842;0.000790569618006
0.328461145;0.07408197224;0.000640290807941
0.338442343;0.07845456898;0.000739426833158
0.348318072;0.111432679;0.000774796062058
0.358327083;0.1015202552;0.00111533090987
0.368239583;0.004189867526;0.00100631952967
0.378228125;0.0330381915;4.18506677578871E-05
0.388129114;0.04302830994;0.000327110770621
0.398094791;0.1143409312;0.000428806238718
0.408043697;0.06123613194;0.001137567176461
0.418049531;0.06068684533;0.000612718570994
0.427946822;0.08813242614;0.000600635368103
0.437864375;0.03001991287;0.000874058007262
0.447802968;0.04391403496;0.00029835569591
0.457764739;0.03447030112;0.000437461559958
0.467769791;0.1538722962;0.000344877155161
0.477605885;0.02904351428;0.001513502369419
0.488038177;0.09154629707;0.000302990421675
0.497879791;0.04760383442;0.000900963318892
0.507491354;0.0702573508;0.000457547253569
0.517461145;0.03166041151;0.00070045110369
0.527323906;0.03429765999;0.000312259071885
0.537289635;0.009900264442;0.000341801184794
0.547232864;-0.02881325781;9.84405965073632E-05
0.55728125;0.08193691075;-0.000289526736392
0.567133854;0.0388706401;0.000807291934603
0.577155989;0.02459003776;0.000389566802619
0.587029375;0.06694027781;0.000242786934559
0.596959114;0.08977629244;0.000664699487241
0.606944323;-0.06367830932;0.000896435043259
0.6168625;0.1282117963;-0.000631572742897
0.626804687;0.09065520763;0.001274705654421
0.636795312;0.1094866842;0.000905702183728
0.646749739;0.1148825288;0.001089877205341
0.656633125;0.07576044649;0.001135428376787
0.667036614;0.0903057605;0.000788172971694
0.676525416;0.01805948466;0.000856893480844
0.686483593;0.02659093589;0.000179839544773
0.696514375;0.05940625817;0.000266727881089
0.706375937;0.01132486388;0.000585838498131
0.716299166;0.1118523329;0.000112379217675
0.726251718;0.05908176675;0.001113216159509
0.73621078;0.08762093633;0.000588398978133
0.746151666;-0.02340841293;0.00087102973927
0.756178853;0.07123847306;-0.000234720533822
0.766054426;0.1141594797;0.000703520741113
0.775986718;0.0903602168;0.001133865286948
0.785939322;0.09039373696;0.000899319455165
0.795878697;0.04705931991;0.000898457249297
0.805820676;0.08537733555;0.000467862770299
0.81615302;0.05161919445;0.000882148000706
0.82570578;0.09890601784;0.000493105775974
0.835662082;0.003006249666;0.000984738183232
0.846050051;0.01188295335;3.12288283366682E-05
0.855553541;0.03113997728;0.000112929528332
0.86555828;0.09293013811;0.000311547345152
0.875497082;0.04522654414;0.000923614242508
0.885415051;0.02578095719;0.000448555462758
0.895337343;0.0537869893;0.000255806185279
0.905400103;0.0302410461;0.000541245564448
0.915237239;0.03087680414;0.000297485283268
0.925183228;0.05495041236;0.000307100354332
0.935227187;0.05994287506;0.000551919688777
0.945071145;-0.007643215358;0.00059007514449
0.955023697;0.07340458781;-7.60694982976945E-05
0.964965468;0.06806781888;0.000729771602356
0.974886926;0.1439795494;0.00067533200617
0.984856405;0.00940810889;0.001435401094173
0.994838489;0.05672476441;9.39125332211268E-05
1.004755937;0.01320842654;0.000562564901348
1.014737655;0.0319512412;0.000131842788946
1.025147134;0.02118059993;0.000332595774295
1.034644687;-0.007584724575;0.000201163870407
1.044588489;0.006940849125;-7.54209993983342E-05
1.05467927;0.001964561641;7.00385884744177E-05
1.064531614;0.006844975054;1.93555370963365E-05
1.074501562;0.07867205888;6.82440453496769E-05
1.084432187;0.09676458687;0.000781262714715
1.094293385;-0.03197012469;0.000954214750513
1.104253905;-0.002991385758;-0.000318439066377
1.114193489;0.05459818989;-2.97331300180448E-05
1.124108801;0.03086820245;0.000541358087395
1.13442578;-0.01154085249;0.000318466596444
1.143999062;0.02210263163;-0.000110483835407
1.15406026;0.09342494607;0.00022237895315
1.163890312;0.06395936012;0.000918372077965
